Listing ID,Is Superhost,neighbourhood,Neighborhood Group,Latitude,Longitude,Property Type,Room Type,Accomodates,Bathrooms,Bedrooms,Beds,Guests Included,Min Nights,Reviews,Overall Rating,Accuracy Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Value Rating,Instant Bookable,Business Travel Ready,Price
19665213.0,f,Prenzlauer Berg,Pankow,52.54652,13.41792,Apartment,Private room,2,1.0,1.0,1.0,1,2,6,100.0,10.0,10.0,10.0,10.0,9.0,10.0,t,f,26.0
6436842.0,f,Pankow,Pankow,52.56511999999999,13.42214,Apartment,Entire home/apt,2,1.0,2.0,2.0,2,7,6,90.0,9.0,9.0,10.0,10.0,9.0,10.0,f,f,41.0
10559468.0,f,Prenzlauer Berg,Pankow,52.54741,13.42521,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,1,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,50.0
27215482.0,f,Friedrichshain,Friedrichshain-Kreuzberg,52.50958000000001,13.45144,Apartment,Private room,2,1.0,1.0,1.0,1,2,4,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,50.0
26590915.0,t,Mariendorf,Tempelhof - Sch̦neberg,52.44826,13.40608,Condominium,Private room,3,1.0,1.0,2.0,2,1,10,99.0,10.0,9.0,10.0,10.0,10.0,10.0,t,f,39.0
32996974.0,f,Wilmersdorf,Charlottenburg-Wilm.,52.494530000000005,13.32802,Apartment,Entire home/apt,4,1.0,2.0,2.0,2,5,5,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,94.0
17364275.0,f,Kreuzberg,Friedrichshain-Kreuzberg,52.50021,13.43514,Apartment,Entire home/apt,4,2.0,1.0,2.0,1,6,14,94.0,9.0,9.0,10.0,10.0,10.0,10.0,t,f,73.0
23775462.0,f,Kreuzberg,Friedrichshain-Kreuzberg,52.49598000000001,13.39327,Apartment,Entire home/apt,2,1.0,2.0,1.0,2,4,13,93.0,9.0,10.0,9.0,9.0,10.0,9.0,f,f,100.0
13483316.0,f,Moabit,Mitte,52.53145,13.3171,Apartment,Private room,4,1.0,1.0,4.0,4,6,2,100.0,10.0,9.0,10.0,10.0,9.0,10.0,f,f,50.0
19678959.0,f,Wilmersdorf,Charlottenburg-Wilm.,52.47666999999999,13.31001,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1,2,80.0,10.0,10.0,10.0,10.0,9.0,7.0,t,f,50.0
8593560.0,t,Neuk̦lln,Neuk̦lln,52.495540000000005,13.42865,Apartment,Private room,3,1.0,1.0,2.0,2,2,15,99.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,58.0
10932366.0,f,Alt-Treptow,Treptow - K̦penick,52.4938,13.452370000000002,Apartment,Private room,1,1.0,1.0,1.0,1,*,6,100.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,25.0
